Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-09-21 17:52:41,false,"Lenexa Running","3.00","274","00:26:48","161","173","167","172","8:55","8:24","81","102","1.08","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.01.6","4","0.0","00:26:44","00:27:26","951","996"
Running,2022-09-12 16:50:18,false,"Lenexa Running","3.01","281","00:26:21","166","179","168","174","8:46","8:16","60","65","1.09","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.34.9","4","0.0","00:26:19","00:26:25","952","996"
Running,2022-09-09 16:13:22,false,"Lenexa Running","4.00","417","00:39:06","166","181","156","179","9:46","8:17","149","144","1.06","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.58.8","5","0.0","00:39:06","00:39:06","952","1,027"
Running,2022-09-06 17:03:55,false,"Lenexa Running","3.00","280","00:26:40","163","177","166","172","8:53","8:13","50","61","1.09","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:47.63.7","3","0.0","00:26:40","00:26:40","952","997"
Running,2022-08-31 17:30:04,false,"Lenexa Running","3.00","282","00:26:10","167","181","168","172","8:43","8:11","50","54","1.10","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.69.5","4","0.0","00:26:04","00:26:38","952","996"
Running,2022-08-29 16:17:09,false,"Lenexa Running","3.01","266","00:26:09","161","177","168","172","8:42","8:23","61","81","1.10","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.87","4","0.0","00:26:08","00:26:09","951","996"
Running,2022-08-24 17:15:12,false,"Lenexa Running","3.00","277","00:26:41","163","179","167","172","8:53","8:27","54","73","1.09","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.16.6","4","0.0","00:26:39","00:26:48","952","996"
Running,2022-08-22 16:40:29,false,"Lenexa Running","3.00","275","00:27:44","159","176","160","174","9:15","8:16","71","93","1.09","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:42.38.2","3","0.0","00:27:41","00:27:51","952","997"
Running,2022-08-19 16:41:01,false,"Lenexa Running","4.00","362","00:34:33","166","181","168","172","8:38","7:50","128","122","1.11","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:35.32.2","4","0.0","00:34:30","00:34:37","952","1,027"
Running,2022-08-17 16:49:32,false,"Lenexa Running","4.00","367","00:35:36","163","183","167","174","8:54","8:17","94","100","1.08","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:42.83.6","4","0.0","00:35:27","00:36:04","952","1,017"
