,activity_type,date,title,distance,calories,time,avg_hr,max_hr,avg_cadence,max_cadence,avg_pace,best_pace,total_ascent,total_descent,avg_stride,moving_time,elapsed_time,min_elevation,max_elevation,temp,humidity,wind,year,month,elev_diff,pace_str,pace_min,pace_sec,avg_pace_int
0,Running,2022-09-21,Lenexa Running,3.0,274,00:26:48,161,173,167,172,8:55,8:24,81,102,1.08,00:26:44,00:27:26,951,996,75,69,21,2022,09,45,8:55,8,55,8.916666666666666
1,Running,2022-09-12,Lenexa Running,3.01,281,00:26:21,166,179,168,174,8:46,8:16,60,65,1.09,00:26:19,00:26:25,952,996,82,30,12,2022,09,44,8:46,8,46,8.766666666666667
2,Running,2022-09-09,Lenexa Running,4.0,417,00:39:06,166,181,156,179,9:46,8:17,149,144,1.06,00:39:06,00:39:06,952,1027,88,36,7,2022,09,75,9:46,9,46,9.766666666666667
3,Running,2022-09-06,Lenexa Running,3.0,280,00:26:40,163,177,166,172,8:53,8:13,50,61,1.09,00:26:40,00:26:40,952,997,82,55,7,2022,09,45,8:53,8,53,8.883333333333333
4,Running,2022-08-31,Lenexa Running,3.0,282,00:26:10,167,181,168,172,8:43,8:11,50,54,1.1,00:26:04,00:26:38,952,996,84,40,5,2022,08,44,8:43,8,43,8.716666666666667
5,Running,2022-08-29,Lenexa Running,3.01,266,00:26:09,161,177,168,172,8:42,8:23,61,81,1.1,00:26:08,00:26:09,951,996,72,78,18,2022,08,45,8:42,8,42,8.7
6,Running,2022-08-24,Lenexa Running,3.0,277,00:26:41,163,179,167,172,8:53,8:27,54,73,1.09,00:26:39,00:26:48,952,996,88,43,5,2022,08,44,8:53,8,53,8.883333333333333
7,Running,2022-08-22,Lenexa Running,3.0,275,00:27:44,159,176,160,174,9:15,8:16,71,93,1.09,00:27:41,00:27:51,952,997,82,48,5,2022,08,45,9:15,9,15,9.25
8,Running,2022-08-19,Lenexa Running,4.0,362,00:34:33,166,181,168,172,8:38,7:50,128,122,1.11,00:34:30,00:34:37,952,1027,79,65,12,2022,08,75,8:38,8,38,8.633333333333333
9,Running,2022-08-17,Lenexa Running,4.0,367,00:35:36,163,183,167,174,8:54,8:17,94,100,1.08,00:35:27,00:36:04,952,1017,81,51,6,2022,08,65,8:54,8,54,8.9
10,Running,2022-08-15,Lenexa Running,3.0,288,00:26:42,168,183,168,172,8:54,8:30,69,93,1.07,00:26:41,00:26:42,952,997,90,46,12,2022,08,45,8:54,8,54,8.9
11,Running,2022-08-10,Lenexa Running,3.0,285,00:27:13,165,183,165,173,9:04,8:19,60,65,1.08,00:27:12,00:27:20,952,996,90,34,9,2022,08,44,9:04,9,4,9.066666666666666
12,Running,2022-08-09,Lenexa Running,3.0,286,00:27:08,164,182,166,172,9:03,8:29,48,63,1.07,00:27:06,00:27:47,953,996,88,43,5,2022,08,43,9:03,9,3,9.05
13,Running,2022-07-27,Lenexa Running,3.0,290,00:27:21,165,183,164,174,9:07,8:17,51,71,1.08,00:27:17,00:27:35,952,996,84,62,0,2022,07,44,9:07,9,7,9.116666666666667
14,Running,2022-07-25,Lenexa Running,4.0,375,00:36:04,163,181,165,174,9:01,8:17,141,138,1.08,00:35:59,00:36:11,952,1016,75,74,8,2022,07,64,9:01,9,1,9.016666666666667
15,Running,2022-07-18,Lenexa Running,3.0,287,00:26:21,167,184,169,173,8:46,8:20,59,80,1.08,00:26:20,00:26:21,951,997,93,36,5,2022,07,46,8:46,8,46,8.766666666666667
16,Running,2022-07-13,Lenexa Running,3.0,302,00:27:56,165,184,161,173,9:18,8:04,50,58,1.08,00:27:55,00:28:03,952,997,93,28,6,2022,07,45,9:18,9,18,9.3
17,Running,2022-07-11,Lenexa Running,3.0,306,00:28:32,164,184,159,174,9:30,8:02,49,70,1.06,00:28:30,00:28:37,952,996,88,63,15,2022,07,44,9:30,9,30,9.5
18,Running,2022-07-01,Lenexa Running,3.0,283,00:26:08,164,182,169,173,8:43,8:14,59,84,1.09,00:26:08,00:26:08,952,996,88,43,7,2022,07,44,8:43,8,43,8.716666666666667
19,Running,2022-06-29,Lenexa Running,3.0,306,00:27:56,166,183,163,174,9:18,8:11,72,95,1.06,00:27:48,00:28:08,952,997,91,34,13,2022,06,45,9:18,9,18,9.3
20,Running,2022-06-21,Lenexa Running,3.0,295,00:27:03,167,185,164,175,9:01,8:00,127,113,1.09,00:27:01,00:27:07,947,1001,99,40,15,2022,06,54,9:01,9,1,9.016666666666667
21,Running,2022-06-17,Lenexa Running,3.0,304,00:27:44,166,182,162,175,9:15,8:11,51,56,1.07,00:27:41,00:27:52,952,996,95,44,9,2022,06,44,9:15,9,15,9.25
22,Running,2022-06-15,Lenexa Running,4.0,412,00:39:46,161,181,155,176,9:56,7:39,116,111,1.04,00:39:36,00:42:24,952,1020,90,59,18,2022,06,68,9:56,9,56,9.933333333333334
23,Running,2022-06-10,Lenexa Running,3.0,283,00:27:07,162,179,164,174,9:02,8:06,72,93,1.09,00:27:07,00:27:07,951,997,82,58,7,2022,06,46,9:02,9,2,9.033333333333333
24,Running,2022-06-08,Lenexa Running,3.0,283,00:26:01,167,183,168,174,8:40,7:58,56,62,1.11,00:25:50,00:26:27,952,996,79,48,15,2022,06,44,8:40,8,40,8.666666666666666
25,Running,2022-06-06,Lenexa Running,3.0,295,00:26:28,169,185,168,174,8:49,8:19,55,59,1.09,00:26:12,00:27:09,952,996,82,58,9,2022,06,44,8:49,8,49,8.816666666666666
