,activity_type,date,title,distance,calories,time,avg_hr,max_hr,avg_cadence,max_cadence,avg_pace,best_pace,total_ascent,total_descent,avg_stride,moving_time,elapsed_time,min_elevation,max_elevation,temp,humidity,wind,year,month,elev_diff,pace_str,pace_min,pace_sec,avg_pace_int
343,Running,2017-09-06,Shawnee Running,3.01,264,00:26:08,162,180,170,186,8:41,7:01,92,115,1.09,00:26:03,00:27:54,780,904,72,41,10,2017,09,124,8:41,8,41,8.683333333333334
351,Running,2017-08-16,Shawnee Running,3.0,259,00:25:37,159,185,170,188,8:32,6:42,87,133,1.11,00:25:36,00:28:39,780,925,77,94,5,2017,08,145,8:32,8,32,8.533333333333333
352,Running,2017-08-14,Shawnee Running,4.0,376,00:37:19,161,180,166,176,9:19,6:56,120,123,1.04,00:37:19,00:41:41,780,906,84,66,8,2017,08,126,9:19,9,19,9.316666666666666
275,Running,2018-07-18,Shawnee Running,4.0,445,00:37:28,168,188,166,184,9:22,6:54,123,122,1.03,00:36:32,00:44:54,781,908,81,84,7,2018,07,127,9:22,9,22,9.366666666666667
277,Running,2018-07-10,Shawnee Running,4.0,421,00:38:59,160,182,160,180,9:44,7:33,83,122,1.03,00:37:57,00:45:45,773,905,99,33,5,2018,07,132,9:44,9,44,9.733333333333333
281,Running,2018-06-27,Shawnee Running,3.0,317,00:28:23,162,186,164,178,9:27,5:56,101,134,1.04,00:27:49,00:31:02,780,915,93,56,12,2018,06,135,9:27,9,27,9.45
295,Running,2018-05-15,Shawnee Running,4.0,384,00:35:05,167,189,170,180,8:46,6:55,116,117,1.08,00:34:17,00:37:49,780,907,81,62,10,2018,05,127,8:46,8,46,8.766666666666667
299,Running,2018-05-05,Kansas City Running,3.19,285,00:25:28,171,186,172,180,7:59,7:04,105,94,1.17,00:25:26,00:25:39,830,953,61,72,0,2018,05,123,7:59,7,59,7.983333333333333
302,Running,2018-04-27,Shawnee Running,4.0,389,00:34:56,165,189,164,180,8:44,6:52,106,133,1.12,00:34:53,00:38:45,780,904,73,25,14,2018,04,124,8:44,8,44,8.733333333333333
305,Running,2018-04-17,Shawnee Running,4.0,376,00:34:28,161,185,170,186,8:37,6:47,97,117,1.1,00:34:28,00:37:35,780,905,66,40,10,2018,04,125,8:37,8,37,8.616666666666667
312,Running,2018-03-23,Shawnee Running,4.0,360,00:33:32,157,189,170,188,8:22,6:09,131,134,1.13,00:33:33,00:38:36,780,905,61,55,17,2018,03,125,8:22,8,22,8.366666666666667
204,Running,2019-09-20,Shawnee Running,3.01,279,00:25:37,164,188,172,189,8:31,6:49,94,123,1.1,00:25:22,00:30:16,780,906,75,74,16,2019,09,126,8:31,8,31,8.516666666666667
210,Running,2019-06-07,Shawnee Running,4.0,469,00:37:29,172,189,165,181,9:22,7:34,126,134,1.04,00:37:01,00:41:16,780,917,88,36,10,2019,06,137,9:22,9,22,9.366666666666667
214,Running,2019-05-04,Kansas City Running,3.2,332,00:25:56,176,187,172,182,8:06,6:57,105,96,1.16,00:25:44,00:25:56,830,954,48,93,0,2019,05,124,8:06,8,6,8.1
152,Running,2020-09-14,Shawnee Running,4.0,418,00:36:31,167,189,165,179,9:07,7:00,125,134,1.07,00:36:17,00:40:58,780,907,79,48,9,2020,09,127,9:07,9,7,9.116666666666667
153,Running,2020-09-01,Shawnee Running,3.0,291,00:26:23,161,185,170,185,8:47,7:18,92,120,1.08,00:26:06,00:31:13,780,905,84,62,12,2020,09,125,8:47,8,47,8.783333333333333
154,Running,2020-08-26,Shawnee Running,3.0,300,00:27:01,162,185,170,181,9:00,7:34,76,106,1.06,00:26:44,00:29:43,787,905,93,41,13,2020,08,118,9:00,9,0,9.0
155,Running,2020-08-19,Shawnee Running,3.01,296,00:26:49,162,184,169,183,8:56,7:19,105,125,1.06,00:26:24,00:30:58,787,904,82,42,6,2020,08,117,8:56,8,56,8.933333333333334
156,Running,2020-08-17,Shawnee Running,3.0,297,00:26:48,162,185,170,206,8:56,7:34,88,107,1.06,00:26:32,00:31:08,787,906,84,40,17,2020,08,119,8:56,8,56,8.933333333333334
157,Running,2020-08-12,Shawnee Running,3.0,284,00:28:39,153,182,160,185,9:33,7:39,92,118,1.05,00:28:27,00:32:15,780,903,88,55,9,2020,08,123,9:33,9,33,9.55
158,Running,2020-08-10,Shawnee Running,3.0,300,00:26:32,166,187,170,179,8:50,7:44,93,121,1.07,00:26:26,00:27:59,780,905,84,66,6,2020,08,125,8:50,8,50,8.833333333333334
159,Running,2020-08-07,Shawnee Running,4.0,412,00:37:00,165,188,165,187,9:15,7:23,129,132,1.05,00:36:54,00:38:46,780,907,81,79,9,2020,08,127,9:15,9,15,9.25
160,Running,2020-08-04,Shawnee Running,4.0,421,00:36:27,170,186,169,179,9:07,7:54,135,132,1.04,00:36:19,00:37:33,780,918,73,44,6,2020,08,138,9:07,9,7,9.116666666666667
162,Running,2020-07-24,Shawnee Running,3.0,324,00:30:43,161,185,155,179,10:14,7:49,522,449,1.01,00:30:22,00:34:11,768,970,93,47,12,2020,07,202,10:14,10,14,10.233333333333333
163,Running,2020-07-21,Shawnee Running,3.0,313,00:28:21,164,187,162,183,9:26,7:39,97,122,1.05,00:28:10,00:30:30,780,903,82,62,0,2020,07,123,9:26,9,26,9.433333333333334
164,Running,2020-07-15,Shawnee Running,3.0,307,00:27:12,167,188,167,185,9:04,7:09,85,120,1.07,00:26:59,00:30:38,780,905,81,70,14,2020,07,125,9:04,9,4,9.066666666666666
165,Running,2020-07-13,Shawnee Running,3.01,320,00:27:54,168,189,166,181,9:17,7:30,98,126,1.05,00:27:43,00:31:19,780,907,90,43,13,2020,07,127,9:17,9,17,9.283333333333333
166,Running,2020-07-08,Shawnee Running,3.0,328,00:30:00,163,188,157,226,9:59,7:51,80,123,1.03,00:29:42,00:32:46,780,905,91,49,12,2020,07,125,9:59,9,59,9.983333333333333
167,Running,2020-06-30,Shawnee Running,3.0,321,00:28:44,166,186,158,183,9:34,7:35,86,123,1.06,00:28:29,00:33:33,781,908,88,55,12,2020,06,127,9:34,9,34,9.566666666666666
168,Running,2020-06-24,Shawnee Running,3.0,314,00:27:20,168,188,167,183,9:06,7:17,96,125,1.06,00:27:08,00:30:50,780,906,84,37,7,2020,06,126,9:06,9,6,9.1
169,Running,2020-06-22,Shawnee Running,3.0,335,00:28:40,170,189,161,181,9:32,7:35,93,120,1.05,00:28:26,00:31:09,780,905,88,43,14,2020,06,125,9:32,9,32,9.533333333333333
170,Running,2020-06-15,Shawnee Running,3.0,351,00:30:20,168,188,154,181,10:06,7:42,91,123,1.03,00:30:04,00:33:29,779,905,90,41,12,2020,06,126,10:06,10,6,10.1
171,Running,2020-06-09,Shawnee Running,3.01,335,00:29:20,166,193,159,179,9:45,7:45,96,125,1.04,00:28:54,00:34:04,779,906,88,63,16,2020,06,127,9:45,9,45,9.75
172,Running,2020-05-20,Shawnee Running,4.0,400,00:36:16,164,186,168,218,9:04,7:23,122,126,1.06,00:35:58,00:41:52,780,907,68,68,9,2020,05,127,9:04,9,4,9.066666666666666
173,Running,2020-05-15,Shawnee Running,3.0,297,00:25:49,167,186,171,211,8:36,7:41,97,126,1.1,00:25:37,00:29:49,780,907,66,83,8,2020,05,127,8:36,8,36,8.6
175,Running,2020-05-08,Shawnee Running,4.0,396,00:36:20,163,184,165,185,9:05,7:06,117,120,1.07,00:36:06,00:38:59,780,907,57,36,14,2020,05,127,9:05,9,5,9.083333333333334
176,Running,2020-05-06,Shawnee Running,4.0,411,00:35:28,168,189,170,184,8:51,7:30,400,384,1.07,00:35:22,00:38:40,756,903,63,48,12,2020,05,147,8:51,8,51,8.85
177,Running,2020-05-01,Shawnee Running,3.0,300,00:27:16,162,184,165,183,9:04,7:37,96,126,1.07,00:27:04,00:30:36,780,907,77,47,9,2020,05,127,9:04,9,4,9.066666666666666
179,Running,2020-04-20,Shawnee Running,4.0,397,00:36:09,163,182,167,181,9:02,7:33,130,126,1.07,00:35:54,00:38:58,780,908,70,46,12,2020,04,128,9:02,9,2,9.033333333333333
180,Running,2020-04-15,Shawnee Running,4.0,400,00:35:14,167,184,170,185,8:48,7:27,134,130,1.07,00:35:02,00:36:51,780,908,54,32,7,2020,04,128,8:48,8,48,8.8
182,Running,2020-04-07,Shawnee Running,3.01,310,00:27:33,165,187,163,183,9:10,7:35,93,125,1.08,00:27:21,00:29:58,780,906,77,57,14,2020,04,126,9:10,9,10,9.166666666666666
183,Running,2020-04-01,Shawnee Running,3.0,298,00:27:30,162,185,163,189,9:09,7:09,96,125,1.08,00:27:18,00:30:31,780,906,72,38,17,2020,04,126,9:09,9,9,9.15
184,Running,2020-03-30,Shawnee Running,3.0,295,00:25:44,168,188,172,187,8:34,7:09,101,125,1.09,00:25:35,00:27:33,780,906,68,28,12,2020,03,126,8:34,8,34,8.566666666666666
75,Running,2021-09-21,Shawnee Running,4.0,394,00:36:13,164,182,163,181,9:03,7:45,112,140,1.09,00:36:06,00:39:28,773,905,73,36,10,2021,09,132,9:03,9,3,9.05
76,Running,2021-09-10,Shawnee Running,3.0,296,00:26:44,165,185,169,181,8:54,7:22,96,125,1.07,00:26:34,00:28:42,780,906,84,52,10,2021,09,126,8:54,8,54,8.9
78,Running,2021-09-06,Shawnee Running,4.0,431,00:41:52,160,186,147,185,10:27,7:08,87,126,1.04,00:41:41,00:45:06,773,906,84,55,9,2021,09,133,10:27,10,27,10.45
79,Running,2021-08-30,Shawnee Running,3.0,320,00:27:45,166,189,163,179,9:15,7:23,93,120,1.07,00:27:28,00:31:16,780,905,88,59,7,2021,08,125,9:15,9,15,9.25
80,Running,2021-08-18,Shawnee Running,3.0,294,00:27:13,161,182,165,183,9:04,7:29,94,122,1.08,00:26:58,00:29:37,781,903,86,59,9,2021,08,122,9:04,9,4,9.066666666666666
81,Running,2021-08-16,Shawnee Running,3.0,305,00:29:27,157,183,156,183,9:48,7:45,96,125,1.05,00:29:16,00:31:51,780,905,84,55,8,2021,08,125,9:48,9,48,9.8
83,Running,2021-08-11,Shawnee Running,3.0,331,00:29:41,164,186,153,181,9:54,8:04,91,118,1.06,00:29:29,00:33:04,780,905,93,50,16,2021,08,125,9:54,9,54,9.9
84,Running,2021-08-03,Shawnee Running,3.01,280,00:27:39,154,180,165,183,9:12,7:46,102,123,1.06,00:27:22,00:30:44,780,903,81,37,7,2021,08,123,9:12,9,12,9.2
86,Running,2021-07-28,Shawnee Running,3.0,305,00:29:11,159,184,159,183,9:43,7:37,94,121,1.04,00:29:05,00:31:18,780,904,95,47,5,2021,07,124,9:43,9,43,9.716666666666667
87,Running,2021-07-26,Shawnee Running,4.0,410,00:38:20,161,182,158,181,9:35,7:37,94,133,1.06,00:37:52,00:42:35,772,906,90,41,8,2021,07,134,9:35,9,35,9.583333333333334
88,Running,2021-07-21,Shawnee Running,3.01,287,00:29:24,150,178,156,185,9:46,7:16,94,121,1.06,00:28:56,00:39:46,780,905,86,40,5,2021,07,125,9:46,9,46,9.766666666666667
91,Running,2021-07-12,Shawnee Running,3.0,314,00:29:14,160,183,157,181,9:44,7:39,103,120,1.05,00:28:59,00:30:47,780,901,77,61,6,2021,07,121,9:44,9,44,9.733333333333333
92,Running,2021-07-09,Shawnee Running,3.0,308,00:31:09,153,183,150,223,10:22,7:45,96,122,1.03,00:30:54,00:34:26,780,903,91,53,14,2021,07,123,10:22,10,22,10.366666666666667
93,Running,2021-07-06,Shawnee Running,3.0,307,00:29:31,159,184,157,183,9:50,7:39,91,119,1.04,00:29:10,00:34:37,780,905,86,46,9,2021,07,125,9:50,9,50,9.833333333333334
94,Running,2021-07-02,Shawnee Running,4.0,416,00:39:22,161,186,156,185,9:50,7:37,116,145,1.05,00:39:02,00:43:48,773,905,86,38,6,2021,07,132,9:50,9,50,9.833333333333334
95,Running,2021-06-28,Shawnee Running,4.0,397,00:38:10,161,182,162,181,9:32,7:37,111,139,1.04,00:37:59,00:42:29,773,905,73,94,8,2021,06,132,9:32,9,32,9.533333333333333
96,Running,2021-06-23,Shawnee Running,4.0,408,00:40:42,158,185,152,183,10:11,7:34,99,126,1.04,00:40:32,00:43:14,780,905,86,55,15,2021,06,125,10:11,10,11,10.183333333333334
97,Running,2021-06-21,Shawnee Running,4.0,379,00:37:11,160,182,165,185,9:17,7:12,116,122,1.05,00:36:58,00:38:56,781,909,79,28,15,2021,06,128,9:17,9,17,9.283333333333333
98,Running,2021-06-16,Shawnee Running,3.0,305,00:29:30,159,185,157,179,9:50,7:44,105,118,1.04,00:29:08,00:32:16,780,904,84,55,6,2021,06,124,9:50,9,50,9.833333333333334
99,Running,2021-06-14,Shawnee Running,3.03,304,00:31:17,154,182,151,218,10:19,7:37,85,118,1.03,00:30:55,00:34:22,758,903,93,28,8,2021,06,145,10:19,10,19,10.316666666666666
100,Running,2021-06-09,Shawnee Running,3.0,295,00:30:12,155,183,153,185,10:03,7:03,97,119,1.05,00:30:05,00:34:27,779,902,88,55,6,2021,06,123,10:03,10,3,10.05
101,Running,2021-06-01,Shawnee Running,4.0,377,00:35:50,161,180,170,185,8:57,7:46,106,134,1.06,00:35:24,00:39:39,779,905,72,61,3,2021,06,126,8:57,8,57,8.95
102,Running,2021-05-24,Shawnee Running,3.0,287,00:27:18,161,181,166,180,9:06,7:37,90,121,1.06,00:26:57,00:29:47,780,906,73,73,12,2021,05,126,9:06,9,6,9.1
103,Running,2021-05-21,Shawnee Running,4.0,373,00:37:40,156,179,162,183,9:25,7:39,106,134,1.05,00:37:26,00:40:25,780,906,72,83,14,2021,05,126,9:25,9,25,9.416666666666666
104,Running,2021-05-14,Shawnee Running,4.0,378,00:36:37,160,181,169,183,9:09,7:51,130,133,1.04,00:36:21,00:38:51,780,906,70,49,10,2021,05,126,9:09,9,9,9.15
105,Running,2021-05-12,Shawnee Running,3.0,271,00:26:26,159,179,171,191,8:48,7:05,91,121,1.07,00:26:15,00:30:43,780,906,63,27,10,2021,05,126,8:48,8,48,8.8
106,Running,2021-05-10,Shawnee Running,4.0,379,00:35:27,164,181,170,181,8:51,7:53,123,127,1.07,00:35:10,00:36:58,781,907,61,45,5,2021,05,126,8:51,8,51,8.85
107,Running,2021-05-04,Shawnee Running,3.0,281,00:26:33,163,183,169,185,8:51,7:36,92,117,1.07,00:26:17,00:30:11,781,902,63,27,14,2021,05,121,8:51,8,51,8.85
108,Running,2021-05-03,Shawnee Running,4.0,401,00:36:34,166,183,166,183,9:08,7:27,116,118,1.06,00:36:20,00:38:07,780,906,70,60,13,2021,05,126,9:08,9,8,9.133333333333333
109,Running,2021-04-19,Shawnee Running,3.01,267,00:25:58,158,179,172,228,8:38,7:17,99,125,1.08,00:25:47,00:29:29,781,906,54,47,13,2021,04,125,8:38,8,38,8.633333333333333
110,Running,2021-04-14,Shawnee Running,3.0,283,00:26:32,162,182,169,183,8:50,6:56,87,124,1.08,00:26:10,00:30:19,780,905,57,36,13,2021,04,125,8:50,8,50,8.833333333333334
111,Running,2021-04-12,Shawnee Running,3.01,278,00:26:34,159,182,170,185,8:50,7:16,91,124,1.07,00:26:16,00:29:44,780,905,61,31,12,2021,04,125,8:50,8,50,8.833333333333334
112,Running,2021-04-05,Shawnee Running,3.02,306,00:28:36,161,184,158,183,9:29,7:13,84,120,1.07,00:28:26,00:32:30,780,906,75,47,23,2021,04,126,9:29,9,29,9.483333333333333
113,Running,2021-03-26,Shawnee Running,4.0,389,00:35:12,164,183,171,185,8:48,7:39,133,136,1.07,00:35:01,00:37:11,780,907,61,59,15,2021,03,127,8:48,8,48,8.8
114,Running,2021-03-22,Shawnee Running,3.01,278,00:26:02,160,181,173,183,8:40,7:18,81,123,1.08,00:25:52,00:28:03,780,910,61,55,13,2021,03,130,8:40,8,40,8.666666666666666
0,Running,2022-09-21,Lenexa Running,3.0,274,00:26:48,161,173,167,172,8:55,8:24,81,102,1.08,00:26:44,00:27:26,951,996,75,69,21,2022,09,45,8:55,8,55,8.916666666666666
1,Running,2022-09-12,Lenexa Running,3.01,281,00:26:21,166,179,168,174,8:46,8:16,60,65,1.09,00:26:19,00:26:25,952,996,82,30,12,2022,09,44,8:46,8,46,8.766666666666667
2,Running,2022-09-09,Lenexa Running,4.0,417,00:39:06,166,181,156,179,9:46,8:17,149,144,1.06,00:39:06,00:39:06,952,1027,88,36,7,2022,09,75,9:46,9,46,9.766666666666667
3,Running,2022-09-06,Lenexa Running,3.0,280,00:26:40,163,177,166,172,8:53,8:13,50,61,1.09,00:26:40,00:26:40,952,997,82,55,7,2022,09,45,8:53,8,53,8.883333333333333
4,Running,2022-08-31,Lenexa Running,3.0,282,00:26:10,167,181,168,172,8:43,8:11,50,54,1.1,00:26:04,00:26:38,952,996,84,40,5,2022,08,44,8:43,8,43,8.716666666666667
5,Running,2022-08-29,Lenexa Running,3.01,266,00:26:09,161,177,168,172,8:42,8:23,61,81,1.1,00:26:08,00:26:09,951,996,72,78,18,2022,08,45,8:42,8,42,8.7
6,Running,2022-08-24,Lenexa Running,3.0,277,00:26:41,163,179,167,172,8:53,8:27,54,73,1.09,00:26:39,00:26:48,952,996,88,43,5,2022,08,44,8:53,8,53,8.883333333333333
7,Running,2022-08-22,Lenexa Running,3.0,275,00:27:44,159,176,160,174,9:15,8:16,71,93,1.09,00:27:41,00:27:51,952,997,82,48,5,2022,08,45,9:15,9,15,9.25
8,Running,2022-08-19,Lenexa Running,4.0,362,00:34:33,166,181,168,172,8:38,7:50,128,122,1.11,00:34:30,00:34:37,952,1027,79,65,12,2022,08,75,8:38,8,38,8.633333333333333
9,Running,2022-08-17,Lenexa Running,4.0,367,00:35:36,163,183,167,174,8:54,8:17,94,100,1.08,00:35:27,00:36:04,952,1017,81,51,6,2022,08,65,8:54,8,54,8.9
10,Running,2022-08-15,Lenexa Running,3.0,288,00:26:42,168,183,168,172,8:54,8:30,69,93,1.07,00:26:41,00:26:42,952,997,90,46,12,2022,08,45,8:54,8,54,8.9
11,Running,2022-08-10,Lenexa Running,3.0,285,00:27:13,165,183,165,173,9:04,8:19,60,65,1.08,00:27:12,00:27:20,952,996,90,34,9,2022,08,44,9:04,9,4,9.066666666666666
12,Running,2022-08-09,Lenexa Running,3.0,286,00:27:08,164,182,166,172,9:03,8:29,48,63,1.07,00:27:06,00:27:47,953,996,88,43,5,2022,08,43,9:03,9,3,9.05
13,Running,2022-07-27,Lenexa Running,3.0,290,00:27:21,165,183,164,174,9:07,8:17,51,71,1.08,00:27:17,00:27:35,952,996,84,62,0,2022,07,44,9:07,9,7,9.116666666666667
14,Running,2022-07-25,Lenexa Running,4.0,375,00:36:04,163,181,165,174,9:01,8:17,141,138,1.08,00:35:59,00:36:11,952,1016,75,74,8,2022,07,64,9:01,9,1,9.016666666666667
15,Running,2022-07-18,Lenexa Running,3.0,287,00:26:21,167,184,169,173,8:46,8:20,59,80,1.08,00:26:20,00:26:21,951,997,93,36,5,2022,07,46,8:46,8,46,8.766666666666667
16,Running,2022-07-13,Lenexa Running,3.0,302,00:27:56,165,184,161,173,9:18,8:04,50,58,1.08,00:27:55,00:28:03,952,997,93,28,6,2022,07,45,9:18,9,18,9.3
17,Running,2022-07-11,Lenexa Running,3.0,306,00:28:32,164,184,159,174,9:30,8:02,49,70,1.06,00:28:30,00:28:37,952,996,88,63,15,2022,07,44,9:30,9,30,9.5
18,Running,2022-07-01,Lenexa Running,3.0,283,00:26:08,164,182,169,173,8:43,8:14,59,84,1.09,00:26:08,00:26:08,952,996,88,43,7,2022,07,44,8:43,8,43,8.716666666666667
19,Running,2022-06-29,Lenexa Running,3.0,306,00:27:56,166,183,163,174,9:18,8:11,72,95,1.06,00:27:48,00:28:08,952,997,91,34,13,2022,06,45,9:18,9,18,9.3
20,Running,2022-06-21,Lenexa Running,3.0,295,00:27:03,167,185,164,175,9:01,8:00,127,113,1.09,00:27:01,00:27:07,947,1001,99,40,15,2022,06,54,9:01,9,1,9.016666666666667
21,Running,2022-06-17,Lenexa Running,3.0,304,00:27:44,166,182,162,175,9:15,8:11,51,56,1.07,00:27:41,00:27:52,952,996,95,44,9,2022,06,44,9:15,9,15,9.25
22,Running,2022-06-15,Lenexa Running,4.0,412,00:39:46,161,181,155,176,9:56,7:39,116,111,1.04,00:39:36,00:42:24,952,1020,90,59,18,2022,06,68,9:56,9,56,9.933333333333334
23,Running,2022-06-10,Lenexa Running,3.0,283,00:27:07,162,179,164,174,9:02,8:06,72,93,1.09,00:27:07,00:27:07,951,997,82,58,7,2022,06,46,9:02,9,2,9.033333333333333
24,Running,2022-06-08,Lenexa Running,3.0,283,00:26:01,167,183,168,174,8:40,7:58,56,62,1.11,00:25:50,00:26:27,952,996,79,48,15,2022,06,44,8:40,8,40,8.666666666666666
25,Running,2022-06-06,Lenexa Running,3.0,295,00:26:28,169,185,168,174,8:49,8:19,55,59,1.09,00:26:12,00:27:09,952,996,82,58,9,2022,06,44,8:49,8,49,8.816666666666666
27,Running,2022-05-25,Lenexa Running,4.0,369,00:34:45,164,180,169,176,8:41,7:56,107,103,1.1,00:34:37,00:36:01,952,1016,64,88,8,2022,05,64,8:41,8,41,8.683333333333334
28,Running,2022-05-20,Lenexa Running,4.0,371,00:35:07,164,177,168,174,8:46,8:10,81,86,1.09,00:35:03,00:35:20,952,1027,70,60,16,2022,05,75,8:46,8,46,8.766666666666667
29,Running,2022-05-16,Lenexa Running,4.0,381,00:35:33,165,180,166,174,8:53,8:02,61,66,1.09,00:35:23,00:35:44,952,1015,79,39,6,2022,05,63,8:53,8,53,8.883333333333333
30,Running,2022-05-13,Lenexa Running,3.0,279,00:26:49,162,181,164,174,8:56,4:58,62,66,1.1,00:26:31,00:28:05,951,996,79,61,10,2022,05,45,8:56,8,56,8.933333333333334
31,Running,2022-05-09,Lenexa Running,3.0,310,00:29:08,165,180,157,175,9:43,7:58,55,60,1.06,00:29:07,00:29:08,951,996,88,55,21,2022,05,45,9:43,9,43,9.716666666666667
32,Running,2022-05-06,Lenexa Running,4.0,381,00:35:25,166,179,168,174,8:51,0:53,110,117,1.08,00:35:21,00:35:41,952,1027,63,68,6,2022,05,75,8:51,8,51,8.85
33,Running,2022-04-27,Lenexa Running,3.0,274,00:26:26,162,177,164,176,8:48,8:04,54,66,1.12,00:26:26,00:26:26,951,996,73,36,17,2022,04,45,8:48,8,48,8.8
37,Running,2022-04-11,Lenexa Running,4.0,376,00:35:45,164,176,166,174,8:56,8:07,100,100,1.08,00:35:41,00:35:53,952,1027,66,37,9,2022,04,75,8:56,8,56,8.933333333333334
39,Running,2022-03-28,Lenexa Running,4.0,380,00:36:22,162,178,164,174,9:05,8:02,67,73,1.08,00:36:22,00:36:22,952,1015,55,33,16,2022,03,63,9:05,9,5,9.083333333333334
